FHRSID,LocalAuthorityBusinessID,BusinessName,BusinessType,BusinessTypeID,AddressLine1,AddressLine2,AddressLine3,AddressLine4,PostCode,RatingValue,RatingKey,RatingDate,RightToReply,LocalAuthorityCode,LocalAuthorityName,LocalAuthorityWebSite,LocalAuthorityEmailAddress,EstablishmentDetail_Id,SchemeType,EstablishmentCollection_Id,Hygiene,Structural,ConfidenceInManagement,EstablishmentDetail_Id,Longitude,Latitude,EstablishmentDetail_Id
294048,PI/000008080,"1 Lombard Street, Restaurant",Restaurant/Cafe/Canteen,1,1 Lombard Street,London,,,EC3V 9AA,4,fhrs_4_en-GB,10/22/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,0,FHRS,0,5,10,5,0,-0.089031,51.512917,0
294679,PI/000016690,1901 Restaurant and Bar,Restaurant/Cafe/Canteen,1,Andaz Hotel,40 Liverpool Street,London,,EC2M 7QN,5,fhrs_5_en-GB,4/15/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,1,FHRS,0,5,5,5,1,-0.081234,51.517358,1
454657,PI/000022470,28-50 Wine Workshop&Kitchen,Restaurant/Cafe/Canteen,1,Retail Unit,140 Fetter Lane,London,,EC4A 1BT,4,fhrs_4_en-GB,5/29/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,2,FHRS,0,5,10,5,2,-0.109818,51.514522,2
415251,PI/000021818,2AD Sports Bar & Restaurant,Pub/bar/nightclub,7843,2 Crutched Friars,London,,,EC3N 2HT,3,fhrs_3_en-GB,7/4/2012,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,3,FHRS,0,5,10,10,3,-0.076579,51.512228,3
294210,PI/000011165,A M News,Retailers - other,4613,11 St Bride Street,London,,,EC4A 4AS,4,fhrs_4_en-GB,3/11/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,4,FHRS,0,5,10,5,4,-0.105018,51.514552,4
293810,PI/000003221,Abacus,Pub/bar/nightclub,7843,24 Cornhill,London,,,EC3V 3ND,4,fhrs_4_en-GB,10/10/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,5,FHRS,0,10,5,0,5,-0.08713,51.513218,5
294406,PI/000013873,Abbey,Pub/bar/nightclub,7843,St Clare House,30-33 Minories,London,,EC3N 1DD,3,fhrs_3_en-GB,2/7/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,6,FHRS,0,10,10,5,6,-0.075158,51.51242,6
294975,PI/000019694,Aberdeen Asset Management,Restaurant/Cafe/Canteen,1,Bow Bells House,1 Bread Street,London,,EC4M 9BE,4,fhrs_4_en-GB,1/20/2014,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,7,FHRS,0,5,0,10,7,-0.094524,51.513555,7
294868,PI/000018899,Abigails Kitchen,Takeaway/sandwich shop,7844,1 Aldermanbury Square,London,,,EC2V 7SB,2,fhrs_2_en-GB,6/26/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,8,FHRS,0,5,15,5,8,-0.092947,51.516793,8
632128,PI/000024800,Abokado,Takeaway/sandwich shop,7844,3 Cutler Street,London,,,E1 7DJ,4,fhrs_4_en-GB,1/29/2014,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,9,FHRS,0,5,10,0,9,-0.07901,51.515766,9
294365,PI/000013574,Abokado,Restaurant/Cafe/Canteen,1,33 Fleet Street,London,,,EC4Y 1BT,4,fhrs_4_en-GB,10/15/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,10,FHRS,0,0,10,0,10,-0.109554,51.513942,10
578603,PI/000024452,Abokado,Takeaway/sandwich shop,7844,5 Rood Lane,London,,,EC3M 8AY,5,fhrs_5_en-GB,11/8/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,11,FHRS,0,0,5,0,11,-0.082274,51.511143,11
493427,PI/000022961,Abokado,Takeaway/sandwich shop,7844,8 Byward Street,London,,,EC3R 5AS,5,fhrs_5_en-GB,3/6/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,12,FHRS,0,5,5,5,12,-0.080008,51.509847,12
576932,PI/000024410,Abokado,Takeaway/sandwich shop,7844,Offices,27 Throgmorton Street,London,,EC2N 2AQ,2,fhrs_2_en-GB,10/22/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,13,FHRS,0,15,15,10,13,-0.086129,51.515091,13
558634,PI/000023600,Abokado,Takeaway/sandwich shop,7844,Retail Unit,74 Cornhill,London,,EC3V 3QQ,5,fhrs_5_en-GB,5/21/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,14,FHRS,0,5,5,5,14,-0.085632,51.513536,14
295148,PI/000021439,Absolute Pleasure,Other catering premises,7841,50 St Katherines Dock,London,,,E1W 1LA,5,fhrs_5_en-GB,2/14/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,15,FHRS,0,0,0,5,15,-0.071954,51.506387,15
294353,PI/000013498,Accenture,Restaurant/Cafe/Canteen,1,"Offices, Plantation Place",30 Fenchurch Street,London,,EC3M 3BD,5,fhrs_5_en-GB,8/29/2012,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,16,FHRS,0,5,0,5,16,-0.082274,51.511143,16
294613,PI/000016249,Addenum Restaurant Bar & Brasserie,Restaurant/Cafe/Canteen,1,1 Seething Lane,London,,,EC3N 4AX,5,fhrs_5_en-GB,10/29/2012,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,17,FHRS,0,5,5,0,17,-0.080008,51.509847,17
294732,PI/000017258,Addleshaw Goddard,Restaurant/Cafe/Canteen,1,Milton Gate,60 Chiswell Street,London,,EC1Y 4AG,5,fhrs_5_en-GB,1/8/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,18,FHRS,0,5,0,0,18,-0.090288,51.52041,18
294108,PI/000009149,Adriatico Restaurant,Restaurant/Cafe/Canteen,1,Mitre House,12-14 Mitre Street,London,,EC3A 5BU,5,fhrs_5_en-GB,7/5/2012,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,19,FHRS,0,5,5,5,19,-0.078755,51.513936,19
294303,PI/000012933,Agenda,Pub/bar/nightclub,7843,3 Minster Court,London,,,EC3R 7DD,5,fhrs_5_en-GB,7/11/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,20,FHRS,0,5,5,0,20,-0.081083,51.510332,20
534426,PI/000023579,Alchemy Cafes Limited,Takeaway/sandwich shop,7844,8 Ludgate Broadway,London,,,EC4V 6DU,4,fhrs_4_en-GB,9/3/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,21,FHRS,0,,,,21,-0.102568,51.513514,21
293617,PI/000000181,Aldgate News,Retailers - other,4613,9 Aldgate High Street,London,,,EC3N 1AH,3,fhrs_3_en-GB,5/7/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,22,FHRS,0,5,10,10,22,-0.075639,51.514352,22
633319,PI/000025532,Alfords Deli,Takeaway/sandwich shop,7844,49 Farringdon Street,London,,,EC4A 4LL,1,fhrs_1_en-GB,1/13/2014,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,23,FHRS,0,15,10,20,23,-0.105746,51.517846,23
294078,PI/000008797,Alfredos Sandwich Bar,Takeaway/sandwich shop,7844,21 Mason's Avenue,London,,,EC2V 5BT,5,fhrs_5_en-GB,11/20/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,24,FHRS,0,5,5,5,24,-0.090422,51.515826,24
294052,PI/000008193,Alibi,Restaurant/Cafe/Canteen,1,Adelaide House,London Bridge,London,,EC4R 9HA,4,fhrs_4_en-GB,6/25/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,25,FHRS,0,5,10,0,25,-0.088160001,51.48957825,25
294885,PI/000018955,All Bar One,Pub/bar/nightclub,7843,175 Bishopsgate,London,,,EC2M 3AG,5,fhrs_5_en-GB,9/24/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,26,FHRS,0,0,5,0,26,-0.083368,51.51865,26
295198,PI/000101226,All Bar One,Pub/bar/nightclub,7843,44-46 Ludgate Hill,London,,,EC4M 7DE,5,fhrs_5_en-GB,11/6/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,27,FHRS,0,0,5,0,27,-0.10165,51.514084,27
295164,PI/000100214,All Bar One,Pub/bar/nightclub,7843,Public House,16 Byward Street,London,,EC3R 5BA,5,fhrs_5_en-GB,4/24/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,28,FHRS,0,5,0,5,28,-0.078944,51.509802,28
293988,PI/000007097,All Bar One,Pub/bar/nightclub,7843,Retail Unit,107-108 Houndsditch,London,,EC3A 7BD,4,fhrs_4_en-GB,1/13/2014,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,29,FHRS,0,5,10,5,29,-0.079126,51.51574,29
293701,PI/000001881,All Bar One,Pub/bar/nightclub,7843,Retail Unit,103 Cannon Street,London,,EC4N 5AG,5,fhrs_5_en-GB,8/7/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,30,FHRS,0,5,5,0,30,-0.089843,51.511761,30
294239,PI/000011846,Allied Mills,Distributors/Transporters,7,"Sunblest Mills, Tilbury Dock","Tilbury, Essex",,,RM18 7JR,5,fhrs_5_en-GB,10/17/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,31,FHRS,0,5,5,5,31,0.332547,51.468022,31
295219,PI/000101894,Amber Bar,Pub/bar/nightclub,7843,City Point,1 Ropemaker Street,London,,EC2Y 9AW,3,fhrs_3_en-GB,3/27/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,32,FHRS,0,10,10,10,32,-0.089608,51.519437,32
294841,PI/000018685,Amico Bio,Restaurant/Cafe/Canteen,1,44 Cloth Fair,London,,,EC1A 7JQ,4,fhrs_4_en-GB,6/20/2013,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,33,FHRS,0,5,10,5,33,-0.099783,51.519134,33
294187,PI/000010694,"Ampersands, Simmons & Simmons",Restaurant/Cafe/Canteen,1,City Point,1 Ropemaker Street,London,,EC2Y 9AW,5,fhrs_5_en-GB,11/20/2012,,508,City of London Corporation,http://www.cityoflondon.gov.uk/Corporation/homepage.htm,publicprotection@cityoflondon.gov.uk,34,FHRS,0,0,5,5,34,-0.089608,51.519437,34
